case_id,case_type,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
C0_000,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_001,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_002,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_003,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_004,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_005,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_006,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_007,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_008,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_009,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_010,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_011,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_012,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_013,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_014,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_015,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_016,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_017,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_018,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_019,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_020,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_021,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_022,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_023,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_024,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_025,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_026,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_027,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_028,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C0_029,C0,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C1_000,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_001,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_002,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_003,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_004,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_005,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_006,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_007,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_008,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_009,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_010,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_011,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_012,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_013,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_014,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_015,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_016,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_017,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_018,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_019,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_020,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_021,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_022,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_023,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_024,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_025,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_026,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_027,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_028,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C1_029,C1,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_000,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_001,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_002,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_003,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_004,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_005,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_006,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_007,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_008,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_009,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_010,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_011,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_012,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_013,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_014,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_015,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_016,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_017,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_018,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_019,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_020,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_021,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_022,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_023,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_024,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_025,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_026,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_027,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_028,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C2_029,C2,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_000,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_001,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_002,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_003,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_004,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_005,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_006,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
