case_id,case_type,ground_truth,model_answer,model_reason,model_confidence
H1a_025,H1a,maintained,broken,"Channel B shows a phase shift compared to Channel A, indicating an anomaly in their synchronization.",0.95
H1a_027,H1a,maintained,broken,"Channel B shows a significant deviation from Channel A between time steps 50 and 100, indicating an anomaly.",0.95
H2_002,H2,maintained,broken,"Channel B shows significant deviations from Channel A between time steps 100 and 200, indicating anomalous behavior.",0.95
H2_003,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_006,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_009,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_013,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_014,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_015,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_016,H2,maintained,broken,"There is a noticeable divergence between Channel A and Channel B around the time step 150, where Channel B shows significant fluctuations not present in Channel A.",0.95
H2_017,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_019,H2,maintained,broken,There is a noticeable divergence between Channel A and Channel B around the interval from time step 100 to 200.,0.95
H2_020,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_021,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_024,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 100 and 200.,0.95
H2_025,H2,maintained,broken,"Channel B shows significant deviations from Channel A between time steps 100 and 200, indicating an anomaly.",0.95
H2_027,H2,maintained,broken,Channel B shows increased volatility and deviation from Channel A between time steps 100 and 200.,0.95
H2_029,H2,maintained,broken,Channel B shows significant deviations from Channel A between time steps 50 and 150.,0.95
H3_013,H3,broken,maintained,Both channels exhibit similar periodic behavior with no significant deviations from each other.,0.95
H4_006,H4,broken,maintained,Both channels exhibit similar periodic behavior with no significant deviations from each other.,0.95
H4_010,H4,broken,maintained,Both channels follow a similar sinusoidal pattern with no significant deviations from each other.,0.95
H4_012,H4,broken,maintained,Both channels exhibit similar sinusoidal patterns with no significant deviations from each other.,0.95
H4_017,H4,broken,maintained,Both channels exhibit similar periodic behavior without significant deviations from each other.,0.95
H4_018,H4,broken,maintained,"Both channels follow a similar sinusoidal pattern with minor deviations, indicating normal behavior.",0.95
H4_020,H4,broken,maintained,"Both channels follow a similar sinusoidal pattern with minor deviations, indicating normal behavior.",0.95
H4_021,H4,broken,maintained,Both channels follow a similar sinusoidal pattern with no significant deviations from each other.,0.95
H4_027,H4,broken,maintained,Both channels exhibit similar periodic behavior with no significant deviations from each other.,0.95
H4_028,H4,broken,maintained,Both channels follow a similar sinusoidal pattern with no significant deviations from each other.,0.95
