pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_strength,anom_strength,normal_hypothesis,anomaly_hypothesis,reasoning
1,machine-1-1,168,335,168,0.1900018007339289,81.58415841584159,LOW,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows values mostly within the y=[0,1] range, indicating normal operation. The ","Ch19 exceeds the y=1.0 line, reaching approximately y=1.1, indicating a level shift. This exceedance","Given the low prior and modest score, the evidence for normal variation is roughly balanced with the anomaly hypothesis,"
1,machine-1-1,3808,3975,168,0.1872698599472642,78.21782178217822,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Ch19 and Ch0 slightly exceed the y=1.0 line, reaching approximately 1.1x the training maximum. This ","Given the low prior strength and modest score, the evidence for normal variation is stronger, with only minor exceedance"
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window values for all channels remain below the y=1.0 line, indicating they are within","No channels exceed the y=1.0 line, so there are no specific exceedances to report. The type of chang","Given the low prior strength and the absence of any channel exceeding the normal range, the evidence strongly supports t"
1,machine-1-1,12208,12655,448,0.1968320919550024,91.88118811881189,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some values within the normal range, particularly for Ch34 and Ch35, whic","Channels Ch0 and Ch20 exceed the y=1.0 line significantly, with Ch0 reaching approximately 1.8 and C","Given the high prior and significant exceedance of Ch0 and Ch20 above the training maximum, the evidence strongly suppor"
1,machine-1-1,13608,14055,448,0.20750298612983897,97.42574257425743,HIGH,ANOMALY,3,True,False,FP,weak,strong,The candidate window could be considered normal if the variations observed are within the expected r,"Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately 1.9, Ch20 around","Given the high anomaly percentile and clear exceedance of normal operating range in multiple channels, the evidence stro"
1,machine-1-1,15008,15511,504,0.1987810129713681,94.45544554455445,HIGH,ANOMALY,3,True,False,FP,weak,strong,The candidate window could be considered normal if the observed variations are within the expected r,"Channels Ch0, Ch20, and Ch21 show values above the y=1.0 line, with Ch0 reaching approximately 1.5, ","Given the high anomaly percentile and clear exceedance of normal operating values in multiple channels, the evidence str"
1,machine-1-1,16072,16519,448,0.20702707773307338,98.41584158415841,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window could be a normal variation if the channel values remain within the y=[0,1] ran","Channels Ch0, Ch20, and Ch19 exceed the y=1.0 line, with Ch0 reaching approximately y=2.4, indicatin","Given the high anomaly percentile and clear exceedance of normal operating range in multiple channels, the evidence stro"
1,machine-1-1,16912,16967,56,0.18927669199183583,75.84158415841584,LOW,NORMAL,1,False,True,TP,moderate,moderate,"The candidate window shows values within the y=[0,1] range for most channels, indicating normal vari","Ch0 exceeds the y=1.0 line, reaching approximately y=1.2, indicating a level shift not present in an","With a low prior and modest anomaly evidence, the normal hypothesis is slightly favored due to the lack of clear and una"
1,machine-1-1,17192,17695,504,0.22385433435233104,100.0,HIGH,ANOMALY,3,True,True,TP,weak,strong,The candidate window could be considered normal if the exceedances above y=1.0 are minor and within ,"Channels Ch0, Ch2, Ch20, and Ch21 all exceed the y=1.0 line, with Ch0 reaching approximately y=2.5, ","Given the high anomaly percentile and clear exceedance of normal operating ranges in multiple channels, the evidence str"
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,NORMAL,3,False,True,TP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are within t","No channels exceed the y=1.0 line, so there is no evidence of an anomaly based on the provided data.","Given the low prior strength and the absence of any channel exceeding the normal range, the evidence strongly supports t"
