case_id,status,judge_status,case_type,ground_truth_label,model_answer,model_confidence,model_reason,reason_type,judge_rationale
C0_000,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_001,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_002,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_003,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_004,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_005,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between Channel A and Channel B.
C0_006,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_007,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_008,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",relational,The reason describes the synchronization and proportional relationship between the channels.
C0_009,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between Channel A and Channel B.
C0_010,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_011,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and amplitude relationship.",relational,The reason describes the synchronization and joint movement of both channels.
C0_012,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between Channel A and Channel B.
C0_013,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",relational,The reason describes the synchronization and proportional relationship between the channels.
C0_014,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_015,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_016,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_017,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_018,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_019,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_020,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_021,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_022,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_023,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_024,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_025,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_026,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason compares the movement and phase relationship of Channel A and Channel B.
C0_027,OK,OK,C0,maintained,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the channels moving closely together and maintaining a phase relationship.
C0_028,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C0_029,OK,OK,C0,maintained,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C1_000,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the 100-200 time step interval, where they diverge significantly before realigning.",relational,The reason describes divergence and realignment between the channels.
C1_001,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C1_002,OK,OK,C1,broken,broken,0.9,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly before realigning.,hallucinated,The plot does not show significant divergence around 100-200 time steps.
