entity,start,end,length,score,verdict,confidence,key_difference,is_tp
machine-1-1,168,335,168,0.1900018007339289,ANOMALY,3,"In the candidate, Ch22 and Ch0 show a significant upward shift and divergence from their normal low positions, and Ch20 shows a sp",False
machine-1-1,3808,3975,168,0.1872698599472642,ANOMALY,3,"In the candidate, Ch22 maintains a high position throughout, unlike the normal references where it decreases. Additionally, Ch20 s",False
machine-1-1,6664,6887,224,0.1880457599181682,ANOMALY,3,"In the candidate, Ch22 shows a significant deviation by maintaining a high value close to 1 for a prolonged period, which is not o",False
machine-1-1,12208,12655,448,0.1968320919550024,ANOMALY,3,"In the candidate, Ch22 is at a constant high value, unlike in the normal references where it decreases over time. Additionally, Ch",False
machine-1-1,13608,14055,448,0.20750298612983897,ANOMALY,3,"In the candidate, Ch22 shows a significant deviation by maintaining a high value throughout, unlike in the normal references where",False
machine-1-1,15008,15511,504,0.1987810129713681,ANOMALY,3,"In the candidate, Ch22 is at a constant high value, unlike in the normal references where it decreases over time. Additionally, Ch",False
machine-1-1,16072,16519,448,0.20702707773307338,ANOMALY,3,"In the candidate, channels Ch0, Ch20, Ch19, and Ch3 show a significant upward shift and divergence from their normal low positions",True
machine-1-1,16912,16967,56,0.18927669199183583,ANOMALY,3,"In the candidate, Ch20 shows a significant upward shift, diverging from its normal low position relative to other channels. This c",True
machine-1-1,17192,17695,504,0.22385433435233104,ANOMALY,3,"In the candidate, channels that normally run low and track closely together (Ch0, Ch20, Ch19, Ch3) diverge significantly and rise ",True
machine-1-1,17864,18087,224,0.18770975980442017,ANOMALY,3,"In the candidate, Ch0 shows a significant upward shift around the 200 mark, which is not present in any of the normal references. ",True
machine-1-1,18256,18647,392,0.21223680369023765,ANOMALY,3,"In the candidate, Ch0 and Ch20 show a significant upward shift and divergence from their normal low positions, and Ch22 exhibits a",True
machine-1-1,19656,20271,616,0.20247541478073056,ANOMALY,3,"In the candidate, Ch22 maintains a high position throughout, unlike the normal references where it decreases. Ch0 and Ch20 show si",True
machine-1-1,20944,21391,448,0.19882525503635406,ANOMALY,3,"In the candidate, Ch0 and Ch20 show significant upward shifts and divergence from their normal low positions, which is not observe",True
machine-1-1,22120,22511,392,0.19810168777725526,ANOMALY,3,"In the candidate, channels Ch0, Ch20, Ch19, and Ch3 show a significant upward shift and divergence from their usual low positions,",False
machine-1-1,23632,24079,448,0.20100796251790598,ANOMALY,3,"In the candidate, Ch22 maintains a high constant value, unlike the normal references where it decreases over time. Additionally, o",False
