case_id,case_type,group,break_start,break_end,left_L0,left_L1,left_L2,left_L3,right_R0,right_R1,right_R2,right_R3,gold_left,gold_right,model_left,model_right,left_correct,right_correct,both_correct,left_error_steps,right_error_steps,model_confidence,model_reason,parse_status
C1_000,C1,primary,100,200,96,126,120,114,196,150,175,181,L0,R0,L2,R2,False,False,False,20,25,0.85,"The rolling correlation drops significantly after L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_001,C1,primary,100,200,94,126,120,114,205,150,176,170,L0,R0,L2,R2,False,False,False,20,24,0.85,The rolling correlation drops significantly below the threshold around L2 and does not recover until after R2.,OK
C1_002,C1,primary,100,200,90,126,120,114,193,150,176,182,L0,R0,L2,R2,False,False,False,20,24,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_003,C1,primary,100,200,110,126,120,132,193,150,176,170,L0,R0,L2,R2,False,False,False,20,24,0.85,"The correlation starts to drop significantly at L2 and begins to recover around R2, indicating the break in synchronization.",OK
C1_004,C1,primary,100,200,106,126,120,114,212,150,176,182,L0,R0,L2,R2,False,False,False,20,24,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_005,C1,primary,100,200,108,127,121,115,204,150,175,181,L0,R0,L2,R2,False,False,False,21,25,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C1_006,C1,primary,100,200,91,125,119,131,206,150,177,171,L0,R0,L2,R2,False,False,False,19,23,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_007,C1,primary,100,200,108,125,119,131,189,150,176,182,L0,R0,L2,R2,False,False,False,19,24,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_008,C1,primary,100,200,91,123,117,111,190,150,174,180,L0,R0,L2,R2,False,False,False,17,26,0.85,The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2.,OK
C1_009,C1,primary,100,200,90,125,119,131,190,150,176,182,L0,R0,L2,R2,False,False,False,19,24,0.85,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C1_010,C1,primary,100,200,105,125,119,131,205,150,176,182,L0,R0,L2,R2,False,False,False,19,24,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C1_011,C1,primary,100,200,109,125,119,131,207,150,177,171,L0,R0,L2,R2,False,False,False,19,23,0.85,"The correlation drops significantly below the threshold around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C1_012,C1,primary,100,200,90,126,120,132,206,150,176,170,L0,R0,L1,R2,False,False,False,26,24,0.85,"The correlation starts to drop significantly around L1 and does not recover until after R2, where it rises above the threshold again.",OK
C1_013,C1,primary,100,200,90,126,120,114,193,150,175,181,L0,R0,L2,R2,False,False,False,20,25,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C1_014,C1,primary,100,200,105,125,119,113,204,150,176,182,L0,R0,L2,R2,False,False,False,19,24,0.85,"The correlation drops significantly around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C1_015,C1,primary,100,200,104,125,119,131,192,150,176,182,L0,R0,L1,R2,False,False,False,25,24,0.85,"The rolling correlation drops significantly after L1 and starts recovering around R2, indicating the break in relationship starts at L1 and ends at R2.",OK
C1_016,C1,primary,100,200,90,125,119,131,208,150,175,181,L0,R0,L2,R2,False,False,False,19,25,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_017,C1,primary,100,200,106,124,118,130,196,150,177,171,L0,R0,L1,R2,False,False,False,24,23,0.85,"The correlation starts to drop significantly at L1 and begins to recover around R2, where it crosses the threshold again.",OK
C1_018,C1,primary,100,200,92,125,119,113,212,150,175,169,L0,R0,L2,R2,False,False,False,19,25,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_019,C1,primary,100,200,105,124,118,130,207,150,176,182,L0,R0,L2,R2,False,False,False,18,24,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_020,C1,primary,100,200,107,125,119,131,196,150,176,182,L0,R0,L2,R2,False,False,False,19,24,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C1_021,C1,primary,100,200,91,126,120,114,205,150,176,182,L0,R0,L1,R2,False,False,False,26,24,0.85,"The correlation drops significantly around L1 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C1_022,C1,primary,100,200,110,126,120,132,210,150,174,180,L0,R0,L2,R1,False,False,False,20,50,0.85,"The rolling correlation drops significantly below the threshold around L2, indicating the start of the relationship breakdown. It begins to recover around R1, where the correlation rises back above the threshold.",OK
C1_023,C1,primary,100,200,107,125,119,131,195,150,177,171,L0,R0,L2,R2,False,False,False,19,23,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_024,C1,primary,100,200,96,126,120,114,210,150,176,182,L0,R0,L2,R2,False,False,False,20,24,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_025,C1,primary,100,200,90,127,121,115,190,150,174,180,L0,R0,L2,R2,False,False,False,21,26,0.85,"The rolling correlation drops significantly after L2 and starts recovering around R2, indicating a break in the relationship between the channels.",OK
C1_026,C1,primary,100,200,94,127,121,133,207,150,175,181,L0,R0,L2,R2,False,False,False,21,25,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C1_027,C1,primary,100,200,111,125,119,131,207,150,176,182,L0,R0,L2,R2,False,False,False,19,24,0.85,"The correlation drops significantly below the threshold at L2 and starts to recover around R2, indicating the break in synchronization.",OK
C1_028,C1,primary,100,200,104,125,119,113,195,150,175,181,L0,R0,L1,R2,False,False,False,25,25,0.85,"The correlation drops significantly after L1 and starts recovering after R2, indicating the break in relationship starts at L1 and ends at R2.",OK
C1_029,C1,primary,100,200,104,125,119,131,192,150,176,182,L0,R0,L2,R2,False,False,False,19,24,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C2_000,C2,primary,100,200,90,111,146,105,212,191,183,197,L3,R3,L1,R2,False,False,False,11,17,0.85,"The rolling correlation drops significantly around L1 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C2_001,C2,primary,100,200,108,114,140,102,194,188,179,200,L3,R3,L1,R2,False,False,False,14,21,0.9,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold line.",OK
