pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_s,anom_s,reason
1,machine-1-1,168,335,168,0.1900018007339289,82.77227722772277,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The candidate shows a 1.159x ratio with specific channel changes not present in baselines, indicating a strong anomaly."
1,machine-1-1,3808,3975,168,0.1872698599472642,80.19801980198021,LOW,NORMAL,1,False,False,FP,moderate,moderate,"The score is modestly elevated but within natural variation, and visual evidence is not compelling enough to override th"
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,NORMAL,1,False,False,FP,moderate,moderate,Score is modestly elevated but visual evidence shows changes consistent with baseline variation.
1,machine-1-1,12208,12655,448,0.1968320919550024,87.92079207920793,MOD,ANOMALY,3,True,False,FP,moderate,strong,"Score is elevated at 88th percentile with visual evidence of level shifts in multiple channels, supporting anomaly."
1,machine-1-1,13608,14055,448,0.20750298612983897,95.44554455445544,HIGH,ANOMALY,3,True,False,FP,weak,strong,High prior score and clear visual evidence of channel shifts support anomaly.
1,machine-1-1,15008,15511,504,0.1987810129713681,89.3069306930693,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at 1.185x baseline with a clear level shift in Ch0, supporting the anomaly hypothesis."
1,machine-1-1,16072,16519,448,0.20702707773307338,95.24752475247524,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of channel shifts and spikes indicate anomaly.
1,machine-1-1,16912,16967,56,0.18927669199183583,81.98019801980197,LOW,ANOMALY,3,True,True,TP,moderate,strong,"Despite a modestly elevated prior, Ch0 exhibits a clear level shift not present in baselines, strongly supporting the an"
1,machine-1-1,17192,17695,504,0.22385433435233104,99.00990099009901,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of significant changes in multiple channels support anomaly.
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,ANOMALY,3,True,True,TP,moderate,strong,"Despite a modestly elevated score, the clear level shift in Ch0 provides strong evidence for an anomaly."
1,machine-1-1,18256,18647,392,0.21223680369023765,96.83168316831683,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of channel shifts support anomaly.
1,machine-1-1,19656,20271,616,0.20247541478073056,92.67326732673268,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear level shift in Ch0 not seen in baselines indicate a strong anomaly.
1,machine-1-1,20944,21391,448,0.19882525503635406,89.3069306930693,MOD,ANOMALY,3,True,True,TP,moderate,strong,"The score is elevated at 1.15x baseline with a clear level shift in Ch0, supporting the anomaly hypothesis."
1,machine-1-1,22120,22511,392,0.19810168777725526,88.51485148514851,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The anomaly hypothesis is clearly stronger due to a significant level shift in Ch0 not present in baselines, despite mod"
1,machine-1-1,23632,24079,448,0.20100796251790598,91.68316831683168,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated with clear amplitude spikes in specific channels, indicating an anomaly."
1,machine-1-1,24976,25311,336,0.19904464211625358,89.3069306930693,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at 89th percentile with a clear level shift in Ch0, supporting the anomaly hypothesis."
1,machine-1-1,26488,26823,336,0.19060888793319464,82.97029702970296,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at 83rd percentile with a clear level shift in Ch0, absent in baselines, indicating an anomaly."
1,machine-1-2,4536,4759,224,0.17483112745685503,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviation in Ch0 and Ch5 support anomaly hypothesis.
1,machine-1-2,5432,5599,168,0.1658699334754298,79.52380952380952,LOW,NORMAL,1,False,True,TP,moderate,moderate,"The score is modestly elevated, but visual evidence shows variations consistent with natural fluctuations, making the an"
1,machine-1-2,5712,6103,392,0.17202706814610533,92.61904761904762,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and specific channel deviations indicate anomaly despite some baseline consistency.
1,machine-1-2,6160,6943,784,0.17148417374119163,90.95238095238095,MOD,ANOMALY,3,True,False,FP,moderate,strong,The anomaly hypothesis is clearly stronger due to specific channel changes and elevated scores.
1,machine-1-2,7280,7503,224,0.16616800712654367,80.95238095238095,LOW,NORMAL,2,False,False,FP,moderate,moderate,Score is modestly elevated but visual evidence shows variations consistent with normal baselines.
1,machine-1-2,7784,8007,224,0.16686960333026946,83.0952380952381,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at the 83rd percentile, and Ch0 exhibits a significant level shift not present in baselines."
1,machine-1-2,8288,8511,224,0.16660270473221317,82.38095238095238,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The anomaly hypothesis is clearly stronger due to a significant level shift in Ch0 not present in baselines, supported b"
1,machine-1-2,11144,11423,280,0.16731184511445463,84.04761904761905,MOD,ANOMALY,3,True,False,FP,weak,strong,"The score is elevated with a clear level shift in Ch0 not present in baselines, indicating an anomaly."
1,machine-1-2,12432,13047,616,0.17101809913715857,90.0,MOD,ANOMALY,3,True,False,FP,moderate,strong,"Score is elevated with specific level shift in Ch0, clearly indicating an anomaly."
1,machine-1-2,13384,13495,112,0.1665913627715785,82.14285714285714,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated and Ch1 shows a significant level shift not present in baselines, indicating an anomaly."
1,machine-1-2,14616,14727,112,0.16549175354884937,77.85714285714286,LOW,NORMAL,1,False,False,FP,moderate,moderate,"The score is modestly elevated but within natural variation, and visual evidence does not clearly favor anomaly."
1,machine-1-2,15456,15679,224,0.16820922965416685,87.38095238095238,MOD,ANOMALY,3,True,True,TP,moderate,strong,"The score is elevated at the 87th percentile with a clear level shift in Ch0, indicating an anomaly."
1,machine-1-2,15792,16071,280,0.17475550479721277,97.61904761904762,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviations in multiple channels indicate a strong anomaly.
1,machine-1-2,16912,17079,168,0.1689682232293611,88.09523809523809,MOD,ANOMALY,3,True,False,FP,moderate,strong,"Score is elevated with specific level shift in Ch0, clearly stronger anomaly evidence."
