case_id,case_type,ground_truth,model_answer,model_reason,model_confidence
C3_000,C3,broken,maintained,"The phase portrait shows a consistent linear relationship between Channel A and Channel B throughout the entire interval, with no visible deviations in the trajectory.",0.95
C3_001,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_003,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with all colors overlapping, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_004,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with overlapping colors, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_005,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with overlapping colors, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_006,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_007,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_008,C3,broken,maintained,"The phase portrait shows a consistent linear relationship between Channel A and Channel B throughout the interval, with no visible deviations from the dominant shape.",0.95
C3_009,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_010,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with overlapping colors, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_011,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with overlapping colors, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_012,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_013,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_014,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations throughout the time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_017,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_018,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with overlapping colors, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_019,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_020,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no visible deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_021,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_022,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_023,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_024,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_025,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with all colors overlapping, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_026,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the color spectrum, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_027,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C3_028,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C3_029,C3,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C5_006,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C5_009,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C5_012,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C5_015,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between the channels throughout the interval.",0.95
C5_018,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C5_020,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations across the entire time interval, indicating a stable relationship between Channel A and Channel B.",0.95
C5_021,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C5_022,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C5_024,C5,broken,maintained,"The phase portrait shows a consistent linear trajectory with no significant deviations, indicating a stable relationship between Channel A and Channel B throughout the interval.",0.95
C6_000,C6,maintained,broken,"The phase portrait shows segments of different colors deviating from the dominant shape, indicating a breakdown in the relationship between the channels at some points.",0.95
C6_003,C6,maintained,broken,"The phase portrait shows segments that deviate from the dominant shape, indicating a breakdown in the relationship between the channels at some points.",0.85
C6_004,C6,maintained,broken,"The phase portrait shows a deviation from a consistent shape, with some segments not overlapping with the dominant trajectory, indicating a breakdown in the relationship.",0.85
C6_008,C6,maintained,broken,"The phase portrait shows segments that deviate from the dominant shape, indicating a breakdown in the relationship between the channels at some points.",0.85
C6_014,C6,maintained,broken,"The phase portrait shows segments that deviate from the dominant shape, indicating a breakdown in the relationship between Channel A and Channel B at some points.",0.85
C6_019,C6,maintained,broken,"The phase portrait shows a deviation from a consistent shape, with segments of different colors not overlapping the dominant trajectory, indicating a breakdown in the relationship.",0.85
C6_026,C6,maintained,broken,"The phase portrait shows segments that deviate from the main trajectory, indicating a breakdown in the relationship between Channel A and Channel B at some points.",0.85
C6_027,C6,maintained,broken,"The phase portrait shows a yellow segment deviating from the dominant shape, indicating a breakdown in the relationship.",0.95
