entity,start,end,length,score,verdict,confidence,key_difference,is_tp
machine-1-1,168,335,168,0.1900018007339289,ANOMALY,3,"In the candidate, Ch22 shows a significant shift to a higher position, maintaining a high value throughout, unlike in the normal r",False
machine-1-1,3808,3975,168,0.1872698599472642,ANOMALY,3,"In the candidate, Ch22 is consistently at the top, unlike in the normal references where it tracks lower. Additionally, Ch0, Ch20,",False
machine-1-1,6664,6887,224,0.1880457599181682,ANOMALY,3,"In the candidate, Ch22 is consistently at the top, maintaining a high value, unlike in the normal references where it decreases ov",False
machine-1-1,12208,12655,448,0.1968320919550024,ANOMALY,3,"In the candidate, Ch22, which normally runs high, drops significantly and remains low, while other channels (Ch0, Ch20, Ch19, Ch3)",False
machine-1-1,13608,14055,448,0.20750298612983897,ANOMALY,3,"In the candidate, channels that normally run low and track closely together (Ch0, Ch20, Ch19, Ch3) have shifted to higher values a",False
machine-1-1,15008,15511,504,0.1987810129713681,ANOMALY,3,"In the candidate, Ch22, Ch0, and Ch20 have shifted to significantly higher positions compared to the normal references, where they",False
machine-1-1,16072,16519,448,0.20702707773307338,ANOMALY,3,"In the candidate, Ch22 is significantly higher and flat compared to the normal references where it decreases over time. Additional",True
machine-1-1,16912,16967,56,0.18927669199183583,ANOMALY,3,"In the candidate, Ch22 maintains a high position while Ch0 shifts significantly higher, diverging from its normal low position. Th",True
machine-1-1,17192,17695,504,0.22385433435233104,ANOMALY,3,"In the candidate, channels that normally run low and track each other closely (Ch0, Ch20, Ch19, Ch3) have shifted to higher positi",True
machine-1-1,17864,18087,224,0.18770975980442017,ANOMALY,3,"In the candidate, Ch22 shows a significant upward shift to a position it never occupies in normal operation, diverging from its us",True
machine-1-1,18256,18647,392,0.21223680369023765,ANOMALY,3,"In the candidate, Ch22 and Ch0 show significant upward shifts and divergence from their normal low positions. Ch20, which normally",True
machine-1-1,19656,20271,616,0.20247541478073056,ANOMALY,3,"In the candidate, Ch22 shows a significant upward shift and plateau, which is not present in any of the normal references. Additio",True
machine-1-1,20944,21391,448,0.19882525503635406,ANOMALY,3,"In the candidate, Ch22 shows a significant upward shift and divergence from its normal low position, while Ch0 and Ch20 also devia",True
machine-1-1,22120,22511,392,0.19810168777725526,ANOMALY,3,"In the candidate, channels that normally run low (Ch0, Ch20, Ch19, Ch3) have shifted to higher positions and are diverging from ea",False
machine-1-1,23632,24079,448,0.20100796251790598,ANOMALY,3,"In the candidate, all channels converge and exhibit a spike around the middle of the interval, which is not present in any of the ",False
machine-1-1,24976,25311,336,0.19904464211625358,ANOMALY,3,"In the candidate, Ch22 shifts to a high position it never occupies in normal operation, and Ch0, Ch20, Ch19, and Ch3 show a signif",False
