pass,entity,start,end,length,cand_sc,percentile,verdict,confidence,exceeds,keep,is_tp,flag,visual_finding,reasoning
1,machine-1-1,168,335,168,0.1900018007339289,82.77227722772277,ANOMALY,3,True,True,False,FP,"The candidate shows a significant level shift and increased amplitude in Ch19 and Ch21, diverging from the stable patter",The combination of a high anomaly score and clear visual deviations from the baseline indicates a structural change.
1,machine-1-1,3808,3975,168,0.1872698599472642,80.19801980198021,ANOMALY,3,True,True,False,FP,"The candidate window shows a clear level shift and increased amplitude in Ch19, Ch0, and Ch35 compared to the stable bas","Despite the weak score prior, the candidate window exhibits clear structural changes with increased amplitude and level "
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,ANOMALY,3,True,True,False,FP,The candidate shows a clear level shift and increased amplitude in all channels compared to Row 1.,"Despite the weak score prior, the candidate exhibits a clear structural change with increased amplitude and level shift,"
1,machine-1-1,12208,12655,448,0.1968320919550024,87.92079207920793,ANOMALY,3,True,True,False,FP,The candidate shows a clear level shift and increased amplitude not present in Row 1.,The score and visual evidence both indicate a clear structural change beyond normal variation.
1,machine-1-1,13608,14055,448,0.20750298612983897,95.44554455445544,ANOMALY,3,True,True,False,FP,Significant level shift and increased variability in all channels compared to Row 1.,The high score and clear visual differences from the baseline confirm an anomaly.
1,machine-1-1,15008,15511,504,0.1987810129713681,89.3069306930693,ANOMALY,3,True,True,False,FP,The candidate shows a significant level shift and increased amplitude in all channels compared to Row 1.,The score and visual evidence both indicate a clear structural change beyond normal variation.
1,machine-1-1,16072,16519,448,0.20702707773307338,95.24752475247524,ANOMALY,3,True,True,True,TP,"Significant level shift and increased amplitude in Ch0, Ch19, Ch20, and Ch21 compared to Row 1.",The high anomaly score and clear visual deviations from the baseline confirm an anomaly.
1,machine-1-1,16912,16967,56,0.18927669199183583,81.98019801980197,ANOMALY,3,True,True,True,TP,Ch0 shows a significant level shift and amplitude change not seen in Row 1; Ch21 diverges from its typical pattern.,"Despite the weak score prior, clear structural changes in Ch0 and Ch21 indicate an anomaly."
1,machine-1-1,17192,17695,504,0.22385433435233104,99.00990099009901,ANOMALY,3,True,True,True,TP,Significant level shift and increased amplitude in all channels compared to Row 1.,The high anomaly score and clear visual deviations from the baseline confirm an anomaly.
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,ANOMALY,3,True,True,True,TP,"Ch0 shows a significant level shift not present in Row 1, diverging from other channels.","Despite the weak score prior, the clear level shift in Ch0 represents an unambiguous structural change."
1,machine-1-1,18256,18647,392,0.21223680369023765,96.83168316831683,ANOMALY,3,True,True,True,TP,"Significant level shift and increased amplitude in Ch0, Ch20, and Ch21 compared to Row 1.",High anomaly score and clear visual deviations from baseline indicate an anomaly.
1,machine-1-1,19656,20271,616,0.20247541478073056,92.67326732673268,ANOMALY,3,True,True,True,TP,Ch0 shows a significant level shift and increased variability not seen in Row 1.,The high anomaly score combined with clear visual deviations in Ch0 confirms an anomaly.
1,machine-1-1,20944,21391,448,0.19882525503635406,89.3069306930693,ANOMALY,3,True,True,True,TP,Ch0 shows a significant level shift and increased variability not present in Row 1.,The score is elevated and Ch0 exhibits a clear structural change beyond normal variation.
1,machine-1-1,22120,22511,392,0.19810168777725526,88.51485148514851,ANOMALY,3,True,True,False,FP,The candidate shows a significant level shift and increased amplitude compared to Row 1.,The score and visual evidence both indicate a clear structural change beyond normal variation.
1,machine-1-1,23632,24079,448,0.20100796251790598,91.68316831683168,ANOMALY,3,True,True,False,FP,The candidate shows a significant amplitude increase and pattern change not seen in Row 1.,The candidate's structural changes and elevated score confirm an anomaly beyond normal variation.
1,machine-1-1,24976,25311,336,0.19904464211625358,89.3069306930693,ANOMALY,3,True,True,False,FP,"The candidate shows a significant level shift and increased variability in Ch0, which is not present in Row 1.",The elevated score combined with clear visual deviations in level and variability indicates an anomaly.
1,machine-1-1,26488,26823,336,0.19060888793319464,82.97029702970296,ANOMALY,3,True,True,False,FP,"The candidate shows a clear level shift and increased amplitude in Ch0, diverging from the stable patterns in Row 1.",The score and visual evidence both indicate a structural change beyond normal variation.
1,machine-1-2,4536,4759,224,0.17483112745685503,98.09523809523809,ANOMALY,3,True,True,True,TP,Ch0 and Ch5 show significant level shifts and increased variability not seen in Row 1.,The high anomaly score and clear visual deviations in channel behavior confirm an anomaly.
1,machine-1-2,5432,5599,168,0.1658699334754298,79.52380952380952,NORMAL,2,False,False,True,TP,"No clear level shift, correlation change, or amplitude change beyond normal variation observed in the candidate.",The score is only modestly elevated and visual evidence does not show clear structural changes from the baseline.
1,machine-1-2,5712,6103,392,0.17202706814610533,92.61904761904762,ANOMALY,3,True,True,True,TP,Ch0 and Ch5 show significant level shifts and increased variability not seen in Row 1.,High anomaly score combined with clear visual deviations in level and variability confirm anomaly.
1,machine-1-2,6160,6943,784,0.17148417374119163,90.95238095238095,ANOMALY,3,True,True,False,FP,"The candidate shows significant correlation and amplitude changes, with channels diverging and increased variability.","The score percentile suggests moderate deviation, and visual evidence shows clear structural changes beyond normal varia"
1,machine-1-2,7280,7503,224,0.16616800712654367,80.95238095238095,NORMAL,2,False,False,False,FP,"No clear level shift, correlation change, or amplitude change beyond normal variation observed in the candidate window.",The score is only modestly elevated and visual inspection shows no unambiguous structural change from the baseline.
1,machine-1-2,7784,8007,224,0.16686960333026946,83.0952380952381,ANOMALY,3,True,True,False,FP,"The candidate shows a significant level shift and correlation change, particularly in Ch0 and Ch6, compared to Row 1.",The score and visual evidence both indicate a clear structural change beyond normal variation.
1,machine-1-2,8288,8511,224,0.16660270473221317,82.38095238095238,ANOMALY,3,True,True,False,FP,Ch0 and Ch1 show a level shift and increased variability not seen in Row 1; Ch5 diverges from its usual pattern.,"The candidate window shows clear structural changes and increased variability beyond normal baseline variation, supporte"
1,machine-1-2,11144,11423,280,0.16731184511445463,84.04761904761905,ANOMALY,3,True,True,False,FP,Ch0 and Ch1 show a level shift and increased variability not seen in Row 1.,"The candidate shows clear structural changes and increased variability beyond normal variation, supported by elevated sc"
1,machine-1-2,12432,13047,616,0.17101809913715857,90.0,ANOMALY,3,True,True,False,FP,Ch0 shows a level shift and increased variability not seen in Row 1.,"The candidate shows clear structural changes in Ch0 beyond normal variation, supported by elevated score."
1,machine-1-2,13384,13495,112,0.1665913627715785,82.14285714285714,ANOMALY,3,True,True,False,FP,The candidate shows a significant level shift and increased amplitude in Ch1 and Ch0 compared to Row 1.,The score and visual evidence both indicate a clear structural change beyond normal variation.
1,machine-1-2,14616,14727,112,0.16549175354884937,77.85714285714286,NORMAL,2,False,False,False,FP,"No clear level shift, correlation change, or amplitude change beyond normal variation observed in the candidate window.",The score is only slightly elevated and visual evidence does not show clear structural changes from the baseline.
1,machine-1-2,15456,15679,224,0.16820922965416685,87.38095238095238,ANOMALY,3,True,True,True,TP,"The candidate shows a significant level shift and increased amplitude in Ch0 and Ch1, with correlation changes among cha",The score and visual evidence both indicate a clear structural change beyond normal variation.
1,machine-1-2,15792,16071,280,0.17475550479721277,97.61904761904762,ANOMALY,3,True,True,True,TP,Ch0 shows a significant level shift and increased variability not seen in Row 1.,The high anomaly score and clear visual deviations in Ch0 confirm an anomaly.
1,machine-1-2,16912,17079,168,0.1689682232293611,88.09523809523809,ANOMALY,3,True,True,False,FP,Ch0 shows a significant level shift and increased amplitude compared to Row 1.,"The candidate shows a clear structural change with Ch0's level shift and amplitude increase, exceeding normal variation."
1,machine-1-2,18480,19039,560,0.16923364220419898,88.33333333333333,ANOMALY,3,True,True,True,TP,"The candidate shows a clear level shift in Ch0 and Ch1, with increased amplitude and divergence from the pattern seen in",The score and visual evidence both indicate a clear structural change beyond normal variation.
1,machine-1-2,19208,19431,224,0.1659341043094189,80.0,NORMAL,2,False,False,False,FP,"No clear level shift, correlation change, amplitude change, or pattern change compared to Row 1.",The score is only slightly elevated and visual evidence does not show clear structural changes from the baseline.
1,machine-1-2,20048,20439,392,0.1703887386496977,89.52380952380953,ANOMALY,3,True,True,True,TP,Ch0 shows a significant level shift and increased variability not seen in Row 1.,"The candidate window shows clear structural changes in Ch0 beyond normal variation, supported by elevated score."
1,machine-1-2,20608,20887,280,0.16757898810785363,84.76190476190476,ANOMALY,3,True,True,False,FP,Ch0 shows a level shift and increased amplitude not seen in Row 1; Ch1 and Ch2 diverge significantly.,"The candidate window shows clear structural changes and increased variability beyond normal baselines, confirming an ano"
1,machine-1-2,21784,22399,616,0.17483399862169594,98.09523809523809,ANOMALY,3,True,True,True,TP,Ch0 shows a significant level shift and increased variability compared to Row 1.,The high anomaly score combined with clear visual deviations in Ch0 confirms an anomaly.
1,machine-1-2,22680,22959,280,0.16705605705734355,83.57142857142857,ANOMALY,3,True,True,False,FP,Ch0 shows a level shift and increased amplitude not seen in Row 1; Ch1 and Ch2 diverge significantly.,"The candidate window shows clear structural changes and increased variability beyond normal baselines, confirming an ano"
1,machine-1-5,10416,10807,392,0.17936553633106606,92.85714285714286,ANOMALY,3,True,True,True,TP,Ch15 shows a level shift and increased amplitude not seen in Row 1.,The high anomaly score and clear visual differences in Ch15 confirm an anomaly.
1,machine-1-5,11704,11927,224,0.17520335788140073,91.19047619047619,ANOMALY,3,True,True,True,TP,"Ch15 shows a level shift and increased amplitude, diverging from its pattern in Row 1.",The score and visual evidence of structural change in Ch15 confirm an anomaly beyond normal variation.
1,machine-1-5,12600,12991,392,0.1986848475145442,98.09523809523809,ANOMALY,3,True,True,True,TP,Ch15 and Ch13 show level shifts and increased amplitude compared to Row 1.,The high anomaly score combined with clear visual deviations in channel behavior confirms an anomaly.
1,machine-1-5,13608,13663,56,0.17035484686493874,83.80952380952381,ANOMALY,3,True,True,False,FP,"The candidate shows a significant level shift and correlation change, with channels diverging and amplitude exceeding Ro",The score and clear visual structural changes confirm an anomaly beyond normal variation.
1,machine-1-5,13888,14279,392,0.1809547714157296,93.80952380952381,ANOMALY,3,True,True,True,TP,Ch13 and Ch15 show a level shift and increased amplitude compared to Row 1.,The high anomaly score and clear visual differences in channel behavior confirm an anomaly.
