case_id,scenario,n_affected,lag,true_root,pred_root,root_correct,true_onset,pred_onset,onset_abs_error,model_confidence,model_reason,parse_status
NA0_LAG10_000,NA0_LAG10,0.0,10.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_001,NA0_LAG10,0.0,10.0,6,6,True,100.0,100.0,0.0,1.0,"Channel 6 is the only one with an anomaly detected, indicating it as the root cause.",OK
NA0_LAG10_002,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_003,NA0_LAG10,0.0,10.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_004,NA0_LAG10,0.0,10.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_005,NA0_LAG10,0.0,10.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_006,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_007,NA0_LAG10,0.0,10.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_008,NA0_LAG10,0.0,10.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_009,NA0_LAG10,0.0,10.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause.",OK
NA0_LAG10_010,NA0_LAG10,0.0,10.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause.",OK
NA0_LAG10_011,NA0_LAG10,0.0,10.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_012,NA0_LAG10,0.0,10.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_013,NA0_LAG10,0.0,10.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_014,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_015,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_016,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_017,NA0_LAG10,0.0,10.0,6,6,True,100.0,100.0,0.0,0.95,"Channel 6 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_018,NA0_LAG10,0.0,10.0,6,6,True,100.0,100.0,0.0,0.95,"Channel 6 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_019,NA0_LAG10,0.0,10.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_020,NA0_LAG10,0.0,10.0,6,6,True,100.0,100.0,0.0,1.0,"Channel 6 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_021,NA0_LAG10,0.0,10.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_022,NA0_LAG10,0.0,10.0,6,6,True,100.0,100.0,0.0,1.0,"Channel 6 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_023,NA0_LAG10,0.0,10.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_024,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_025,NA0_LAG10,0.0,10.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_026,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_027,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_028,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG10_029,NA0_LAG10,0.0,10.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
