entity,start,end,length,score,verdict,confidence,reason,is_tp
machine-1-1,168,335,168,0.1900018007339289,ANOMALY,3,Multiple channels show a clear level shift and structural break during the candidate interval.,False
machine-1-1,3808,3975,168,0.1872698599472642,ANOMALY,3,Multiple channels show a clear level shift and structural break during the candidate interval.,False
machine-1-1,6664,6887,224,0.1880457599181682,ANOMALY,3,Multiple channels show simultaneous spikes and structural changes during the candidate interval.,False
machine-1-1,12208,12655,448,0.1968320919550024,ANOMALY,3,Multiple channels show a clear structural break and level shift during the candidate interval.,False
machine-1-1,13608,14055,448,0.20750298612983897,ANOMALY,3,"Multiple channels show a clear level shift and structural break during the candidate interval, distinct from the surroun",False
machine-1-1,15008,15511,504,0.1987810129713681,NORMAL,2,The behavior inside the candidate interval is similar to the surrounding context with no clear multi-channel anomaly.,False
machine-1-1,16072,16519,448,0.20702707773307338,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-1,16912,16967,56,0.18927669199183583,NORMAL,1,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-1,17192,17695,504,0.22385433435233104,ANOMALY,3,"Multiple channels show significant spikes and pattern changes during the candidate interval, distinct from the surroundi",True
machine-1-1,17864,18087,224,0.18770975980442017,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-1,18256,18647,392,0.21223680369023765,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-1,19656,20271,616,0.20247541478073056,ANOMALY,3,"Multiple channels show a clear level shift and structural break during the candidate interval, distinct from the surroun",True
machine-1-1,20944,21391,448,0.19882525503635406,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-1,22120,22511,392,0.19810168777725526,NORMAL,2,The candidate interval shows similar fluctuations to the surrounding context without a clear structural break or level s,False
machine-1-1,23632,24079,448,0.20100796251790598,ANOMALY,3,Multiple channels show simultaneous spikes and structural changes during the candidate interval.,False
machine-1-1,24976,25311,336,0.19904464211625358,ANOMALY,3,Multiple channels show a clear structural break and level shift during the candidate interval.,False
machine-1-1,26488,26823,336,0.19060888793319464,ANOMALY,3,Multiple channels show a clear structural break and level shift during the candidate interval.,False
machine-1-2,4536,4759,224,0.17483112745685503,NORMAL,2,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,True
machine-1-2,5432,5599,168,0.1658699334754298,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
