case_id,scenario,n_affected,lag,vis_condition,true_root,pred_root,root_correct,true_onset,pred_onset,onset_abs_error,model_confidence,model_reason,parse_status
NA0_LAG10_000_overlay,NA0_LAG10,0.0,10.0,overlay,2,2,True,100.0,0.0,100.0,0.95,"Channel 2 shows a distinct pattern compared to the others, which maintain a similar sinusoidal pattern. This suggests an anomaly in channel 2 from the start.",OK
NA0_LAG10_000_subplot,NA0_LAG10,0.0,10.0,subplot,2,none,False,100.0,,,0.95,All channels exhibit similar sinusoidal patterns with no clear anomalies or deviations from their expected behavior.,OK
NA0_LAG10_001_overlay,NA0_LAG10,0.0,10.0,overlay,6,6,True,100.0,150.0,50.0,0.95,"Channel 6 deviates significantly from the others starting around time step 150, while the other channels maintain a consistent pattern.",OK
NA0_LAG10_001_subplot,NA0_LAG10,0.0,10.0,subplot,6,2,False,100.0,0.0,100.0,0.9,"Channel 2 shows increased noise throughout the time series, suggesting it is the root cause. Channels 3 and 5 also display increased noise, indicating they are affected. Channels 1, 4, and 6 maintain a smooth pattern, indicating they are unaffected.",OK
NA0_LAG10_002_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels throughout the entire time series. The other channels maintain a consistent pattern, indicating no influence from channel 4.",OK
NA0_LAG10_002_subplot,NA0_LAG10,0.0,10.0,subplot,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a flat pattern throughout, deviating from the sinusoidal pattern seen in other channels. This suggests it is the root cause. All other channels show increased noise, indicating they are affected.",OK
NA0_LAG10_003_overlay,NA0_LAG10,0.0,10.0,overlay,2,2,True,100.0,0.0,100.0,0.95,"Channel 2 deviates significantly from the others throughout the entire time period, indicating it is the root cause. The other channels remain consistent with each other, showing no signs of being affected.",OK
NA0_LAG10_003_subplot,NA0_LAG10,0.0,10.0,subplot,2,none,False,100.0,,,0.95,All channels exhibit consistent sinusoidal patterns without any visible anomalies or deviations from their normal behavior.,OK
NA0_LAG10_004_overlay,NA0_LAG10,0.0,10.0,overlay,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels maintain a consistent pattern.",OK
NA0_LAG10_004_subplot,NA0_LAG10,0.0,10.0,subplot,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a distinct anomaly with a different pattern from the start, influencing channels 2 and 4. Channels 1, 3, and 6 maintain their normal sinusoidal patterns.",OK
NA0_LAG10_005_overlay,NA0_LAG10,0.0,10.0,overlay,3,3,True,100.0,0.0,100.0,0.95,"Channel 3 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels maintain a similar pattern to each other.",OK
