pass,entity,start,end,length,csc,pct,prior,cal_mean,cand_vlm,diff,threshold,verdict,keep,is_tp,flag,dominant_change,reason
1,machine-1-1,168,335,168,0.1900018007339289,82.77227722772277,MOD,2.0,5.0,3.0,2.5,ANOMALY,True,False,FP,elevated activity in Ch19 and Ch34 during the candidate window,"The candidate shows a noticeable increase in activity compared to the baselines, particularly in Ch19 and Ch34, indicati"
1,machine-1-1,3808,3975,168,0.1872698599472642,80.19801980198021,LOW,1.0,6.0,5.0,3.5,ANOMALY,True,False,FP,elevated peaks in all channels,The candidate shows noticeable peaks in all channels compared to the flat baselines.
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,1.0,4.0,3.0,3.5,NORMAL,False,False,FP,slight elevation in activity levels across channels,"The candidate shows a modest increase in activity compared to the baselines, indicating slightly unusual behavior."
1,machine-1-1,12208,12655,448,0.1968320919550024,87.92079207920793,MOD,2.3333333333333335,6.0,3.6666666666666665,2.5,ANOMALY,True,False,FP,elevated activity and deviation in all channels,"The candidate shows a noticeable increase in activity across all channels compared to the baseline, indicating an uncomm"
1,machine-1-1,13608,14055,448,0.20750298612983897,95.44554455445544,HIGH,2.0,8.0,6.0,0.0,ANOMALY,True,False,FP,sustained elevation across all channels in candidate panel,"The candidate panel shows a clear and sustained elevation in all channels compared to the baseline, indicating a signifi"
1,machine-1-1,15008,15511,504,0.1987810129713681,89.3069306930693,MOD,2.3333333333333335,7.0,4.666666666666666,2.5,ANOMALY,True,False,FP,sustained elevation in all channels with increased variability,"The candidate shows a clear and sustained elevation in all channels compared to the baselines, indicating a definite pat"
1,machine-1-1,16072,16519,448,0.20702707773307338,95.24752475247524,HIGH,1.3333333333333333,8.0,6.666666666666667,0.0,ANOMALY,True,True,TP,Significant increase in amplitude and variability across all channels in the can,"The candidate panel shows a clear and substantial deviation from the baseline patterns, indicating a significant anomaly"
1,machine-1-1,16912,16967,56,0.18927669199183583,81.98019801980197,LOW,3.0,6.0,3.0,4.5,NORMAL,False,True,TP,Ch0 shows a significant increase in activity compared to baselines.,"The candidate panel shows a noticeable increase in Ch0 activity, which is uncommon compared to the baseline patterns."
1,machine-1-1,17192,17695,504,0.22385433435233104,99.00990099009901,HIGH,1.0,9.0,8.0,0.0,ANOMALY,True,True,TP,Significant increase in amplitude and deviation in all channels during the candi,"The candidate panel shows a dramatic increase in activity and deviation from the baseline, indicating a clear anomaly."
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,2.0,6.0,4.0,3.5,ANOMALY,True,True,TP,sudden spike in Ch0 at the end of the candidate window,"The candidate shows a noticeable spike in Ch0 not present in the baselines, indicating elevated activity."
