entity,start,end,length,cand_score,verdict,confidence,observed_difference,key_channels,is_tp,ref_status,consensus_chs
machine-1-1,168,335,168,0.1900018007339289,ANOMALY,3,"In the candidate interval, all channels show a significant spike and then a gradual decline, which is absent in the normal reference panel where chann","Ch19, Ch35, Ch34, Ch21",False,_A,"[19, 35, 34, 21]"
machine-1-1,3808,3975,168,0.1872698599472642,ANOMALY,3,"Ch19 and Ch20 show a significant deviation in the candidate interval, peaking around the middle of the window, which is not present in the before and ","Ch19, Ch20",False,BA,"[19, 0, 20, 35]"
machine-1-1,6664,6887,224,0.1880457599181682,ANOMALY,3,"In the candidate interval, all channels show a significant upward spike and subsequent drop, which is absent in both the before and after panels where","Ch20, Ch21, Ch35, Ch19",False,BA,"[20, 21, 35, 19]"
machine-1-1,12208,12655,448,0.1968320919550024,ANOMALY,3,"All channels show a significant upward shift in the candidate interval, reaching positions not seen in the normal reference panels.","Ch0, Ch20, Ch34, Ch35",False,BA,"[0, 20, 34, 35]"
machine-1-1,13608,14055,448,0.20750298612983897,ANOMALY,3,"All channels in the candidate interval show a significant upward shift and increased variance compared to the normal reference panels, which maintain ","Ch0, Ch20, Ch21, Ch35",False,BA,"[0, 20, 21, 35]"
machine-1-1,15008,15511,504,0.1987810129713681,ANOMALY,3,"Channels show a significant upward shift and increased variance in the candidate interval, which is absent in both before and after panels.","Ch0, Ch20, Ch21, Ch35",False,BA,"[0, 20, 21, 35]"
machine-1-1,16072,16519,448,0.20702707773307338,ANOMALY,3,"Ch0 shows a significant upward shift and deviation from its normal position, which is not present in the before and after panels. The channels do not ",Ch0,True,BA,"[0, 20, 19, 21]"
machine-1-1,16912,16967,56,0.18927669199183583,ANOMALY,3,"Ch0 shows a significant drop to a position it never occupies in the normal panel, and Ch21 shows increased volatility and deviation from its normal ra","Ch0, Ch21",True,B_,"[0, 20, 21, 22]"
machine-1-1,17192,17695,504,0.22385433435233104,ANOMALY,3,"Ch0 shows a significant upward shift and deviation from its normal range, not seen in the before and after panels. Ch2, Ch20, and Ch21 also show incre","Ch0, Ch2, Ch20, Ch21",True,BA,"[0, 2, 20, 21]"
machine-1-1,17864,18087,224,0.18770975980442017,ANOMALY,3,"Ch0 shows a significant upward shift to a position it never occupies in the normal panels, indicating a structural change.",Ch0,True,BA,"[0, 21, 20, 34]"
machine-1-1,18256,18647,392,0.21223680369023765,ANOMALY,3,"Ch0 shows a significant deviation from its normal range, maintaining a high value throughout the candidate interval, unlike in the normal panel where ","Ch0, Ch20, Ch2, Ch21",True,_A,"[0, 20, 2, 21]"
machine-1-1,19656,20271,616,0.20247541478073056,ANOMALY,3,"Ch0 shows a significant drop to a position it never occupies in the normal panels, indicating a structural change.",Ch0,True,BA,"[0, 20, 21, 34]"
machine-1-1,20944,21391,448,0.19882525503635406,ANOMALY,3,"Ch20, Ch34, and Ch35 show a significant upward shift and divergence from Ch0, which maintains a stable position. This behavior is absent in both the b","Ch20, Ch34, Ch35",True,BA,"[0, 20, 34, 35]"
machine-1-1,22120,22511,392,0.19810168777725526,ANOMALY,3,"In the candidate interval, all channels show a significant upward shift and increased variability not present in the before and after panels.","Ch0, Ch19, Ch20, Ch21",False,BA,"[0, 20, 19, 21]"
machine-1-1,23632,24079,448,0.20100796251790598,ANOMALY,3,"During the candidate interval, all channels exhibit a significant spike that is absent in both the before and after panels. This spike causes a tempor","Ch0, Ch20, Ch21, Ch19",False,BA,"[0, 20, 21, 19]"
machine-1-1,24976,25311,336,0.19904464211625358,ANOMALY,3,"Ch0 shows significant deviation and fluctuation not present in normal panels, with a large upward shift. Other channels also show increased values and","Ch0, Ch20, Ch19, Ch21",False,BA,"[0, 20, 19, 21]"
machine-1-1,26488,26823,336,0.19060888793319464,ANOMALY,3,"In the candidate interval, all channels show a significant upward shift and increased variability compared to the stable, low variability seen in both","Ch0, Ch20, Ch21, Ch19",False,BA,"[0, 20, 21, 19]"
machine-1-2,4536,4759,224,0.17483112745685503,ANOMALY,3,"Ch5 shows significant deviation in amplitude and pattern compared to before and after, with erratic spikes not present in normal panels.",Ch5,True,BA,"[0, 5, 1, 2]"
machine-1-2,5432,5599,168,0.1658699334754298,ANOMALY,3,"Ch0 shows a significant upward shift in the candidate interval, occupying a position it never reaches in the normal panel. Ch1 and Ch2 also display al","Ch0, Ch1, Ch2",True,B_,"[0, 1, 2, 5]"
machine-1-2,5712,6103,392,0.17202706814610533,ANOMALY,3,"Ch24 shows a significant increase in variability and amplitude, occupying positions it never reaches in the normal panels. Ch0 and Ch5 also show alter","Ch24, Ch0, Ch5",True,BA,"[0, 5, 24, 1]"
machine-1-2,6160,6943,784,0.17148417374119163,ANOMALY,3,"Ch6 and Ch5 show significant fluctuations and increased variability in the candidate panel, unlike the stable patterns in the normal panels. Ch0 and C","Ch6, Ch5, Ch0, Ch1",False,BA,"[6, 5, 0, 1]"
machine-1-2,7280,7503,224,0.16616800712654367,ANOMALY,3,Ch0 and Ch5 show significant deviations in their relative positions and tracking behavior compared to the normal panels. Ch0 spikes more frequently an,"Ch0, Ch5",False,BA,"[0, 1, 5, 6]"
machine-1-2,7784,8007,224,0.16686960333026946,ANOMALY,3,Ch6 shows a significant increase in amplitude and variability in the candidate interval compared to both before and after. Ch0 and Ch5 also show incre,"Ch0, Ch6, Ch5",False,BA,"[0, 6, 5, 1]"
machine-1-2,8288,8511,224,0.16660270473221317,ANOMALY,3,"Ch1 shows significant fluctuations and deviations from its normal stable pattern, and Ch0 and Ch5 exhibit increased variability and peaks not present ","Ch0, Ch1, Ch5",False,BA,"[0, 1, 5, 3]"
machine-1-2,11144,11423,280,0.16731184511445463,ANOMALY,3,"Ch1 shows significant deviation in the candidate interval, occupying a higher position than in both normal reference panels. Ch0 and Ch2 also show inc","Ch0, Ch1, Ch2",False,BA,"[0, 2, 1, 5]"
machine-1-2,12432,13047,616,0.17101809913715857,ANOMALY,3,"Ch0 shows a significant upward shift and increased variability in the candidate interval, which is absent in both the before and after panels. Ch1, Ch",Ch0,False,BA,"[0, 1, 2, 3]"
machine-1-2,13384,13495,112,0.1665913627715785,ANOMALY,3,"Ch1 shows a significant spike not present in the normal panels, and Ch0, Ch3, and Ch32 deviate from their usual positions and tracking behavior.","Ch1, Ch0, Ch3, Ch32",False,BA,"[1, 0, 3, 32]"
machine-1-2,14616,14727,112,0.16549175354884937,ANOMALY,3,"Ch0 shows a significant spike at the beginning of the candidate interval, reaching a position it never occupies in the normal panels. Ch1, Ch2, and Ch","Ch0, Ch1, Ch2, Ch32",False,BA,"[0, 1, 2, 32]"
machine-1-2,15456,15679,224,0.16820922965416685,ANOMALY,3,"Ch0 shows significant spikes and increased variability not present in normal panels. Ch1, Ch2, and Ch3 also show increased variability and deviation f","Ch0, Ch1, Ch2, Ch3",True,BA,"[0, 3, 1, 2]"
machine-1-2,15792,16071,280,0.17475550479721277,ANOMALY,3,"Ch0 shows a significant drop to its minimum value, which is not observed in the normal reference panels. Ch5 also shows a sharp drop and recovery patt","Ch0, Ch5",True,BA,"[0, 2, 5, 1]"
