case_id,n_channels,break_scenario,pair_name,pair_position,break_type,ground_truth,model_answer,correct,model_confidence,model_reason,parse_status
N2_none_000,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_001,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_002,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining their proportional relationship.",OK
N2_none_003,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining their proportional relationship.",OK
N2_none_004,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_005,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_006,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_007,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_008,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_009,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining their proportional relationship without any noticeable divergence.",OK
N2_none_010,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_011,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain in sync throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_012,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_none_013,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining their proportional relationship without any noticeable divergence.",OK
N2_none_014,2,N2_none,P1,0,,maintained,maintained,True,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_single_000,2,N2_single,P1,0,C2,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down between time steps 100 and 200, where P1b remains flat while P1a continues to oscillate. The relationship does not fully recover after this interval.",OK
N2_single_001,2,N2_single,P1,0,C2,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down around the midpoint of the interval, where P1b becomes flat while P1a continues to oscillate.",OK
N2_single_002,2,N2_single,P1,0,C1,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down around the 100-150 time step interval where the channels diverge significantly, and does not fully recover afterward.",OK
N2_single_003,2,N2_single,P1,0,C2,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down between time steps 100 and 200, where P1b remains flat while P1a continues to oscillate.",OK
N2_single_004,2,N2_single,P1,0,C3,broken,maintained,False,0.95,"The channels P1a and P1b remain in sync throughout the entire interval, maintaining a stable phase relationship.",OK
N2_single_005,2,N2_single,P1,0,C1,broken,maintained,False,0.95,"The channels P1a and P1b remain closely aligned throughout the entire interval, maintaining a stable phase relationship.",OK
N2_single_006,2,N2_single,P1,0,C3,broken,maintained,False,0.95,"The channels P1a and P1b remain in sync throughout the entire interval, maintaining a stable phase relationship.",OK
N2_single_007,2,N2_single,P1,0,C3,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down around the midpoint of the interval, where the phase relationship is lost, and does not fully recover.",OK
N2_single_008,2,N2_single,P1,0,C1,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down between time steps 100 and 200, where the channels diverge significantly, and does not fully recover.",OK
N2_single_009,2,N2_single,P1,0,C3,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down around the midpoint of the plot, where the phase relationship diverges significantly, and does not fully recover.",OK
N2_single_010,2,N2_single,P1,0,C3,broken,maintained,False,0.95,"The channels P1a and P1b remain in sync throughout the entire interval, maintaining a stable phase relationship.",OK
N2_single_011,2,N2_single,P1,0,C2,broken,broken,True,0.95,The relationship between P1a and P1b breaks down around the midpoint where P1b becomes constant while P1a continues to oscillate.,OK
N2_single_012,2,N2_single,P1,0,C2,broken,broken,True,0.95,"The relationship between P1a and P1b breaks down between time steps 100 and 200, where P1b remains flat while P1a continues to oscillate.",OK
N2_single_013,2,N2_single,P1,0,C3,broken,maintained,False,0.95,"The channels P1a and P1b remain in sync throughout the entire interval, maintaining a stable phase relationship.",OK
N2_single_014,2,N2_single,P1,0,C3,broken,maintained,False,0.95,"The channels P1a and P1b remain in sync throughout the entire interval, maintaining a stable phase relationship.",OK
N4_none_000,4,N4_none,P1,0,,maintained,maintained,True,0.95,Both pairs P1 and P2 show synchronized movement throughout the entire interval without any noticeable breakdown in their relationships.,OK
N4_none_000,4,N4_none,P2,1,,maintained,maintained,True,0.95,Both pairs P1 and P2 show synchronized movement throughout the entire interval without any noticeable breakdown in their relationships.,OK
N4_none_001,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdown in their relationships.",OK
N4_none_001,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdown in their relationships.",OK
N4_none_002,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_none_002,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_none_003,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the interval, with no visible breakdown in their relationships.",OK
N4_none_003,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the interval, with no visible breakdown in their relationships.",OK
N4_none_004,4,N4_none,P1,0,,maintained,maintained,True,0.95,Both pairs P1 and P2 show synchronized movement throughout the entire interval without any noticeable breakdown in their relationships.,OK
N4_none_004,4,N4_none,P2,1,,maintained,maintained,True,0.95,Both pairs P1 and P2 show synchronized movement throughout the entire interval without any noticeable breakdown in their relationships.,OK
N4_none_005,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_none_005,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_none_006,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned without any noticeable divergence.",OK
N4_none_006,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned without any noticeable divergence.",OK
N4_none_007,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the interval, with no visible breakdowns in their relationships.",OK
N4_none_007,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the interval, with no visible breakdowns in their relationships.",OK
N4_none_008,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_none_008,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_none_009,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_none_009,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_none_010,4,N4_none,P1,0,,maintained,maintained,True,0.95,Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) show synchronized movement throughout the entire interval without any visible breakdown in their relationships.,OK
N4_none_010,4,N4_none,P2,1,,maintained,maintained,True,0.95,Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) show synchronized movement throughout the entire interval without any visible breakdown in their relationships.,OK
N4_none_011,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_none_011,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_none_012,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_none_012,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_none_013,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdown in their relationships.",OK
N4_none_013,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdown in their relationships.",OK
N4_none_014,4,N4_none,P1,0,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_none_014,4,N4_none,P2,1,,maintained,maintained,True,0.95,"Both pairs P1 and P2 show consistent synchronization throughout the entire interval, with no visible breakdowns in their relationships.",OK
N4_single_000,4,N4_single,P1,0,C1,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, breaking their relationship. P2a and P2b remain closely aligned throughout the interval.",OK
N4_single_000,4,N4_single,P2,1,,maintained,maintained,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, breaking their relationship. P2a and P2b remain closely aligned throughout the interval.",OK
N4_single_001,4,N4_single,P1,0,C2,broken,broken,True,0.95,"P1a and P1b diverge significantly after the first cycle, while P2a and P2b remain in sync throughout.",OK
N4_single_001,4,N4_single,P2,1,,maintained,maintained,True,0.95,"P1a and P1b diverge significantly after the first cycle, while P2a and P2b remain in sync throughout.",OK
N4_single_002,4,N4_single,P1,0,C3,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, while P2a and P2b remain closely synchronized throughout the interval.",OK
N4_single_002,4,N4_single,P2,1,,maintained,maintained,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, while P2a and P2b remain closely synchronized throughout the interval.",OK
N4_single_003,4,N4_single,P1,0,C2,broken,broken,True,0.95,"P1a and P1b diverge significantly after the first cycle, with P1b becoming constant while P1a continues oscillating. P2a and P2b remain in sync throughout the interval.",OK
N4_single_003,4,N4_single,P2,1,,maintained,maintained,True,0.95,"P1a and P1b diverge significantly after the first cycle, with P1b becoming constant while P1a continues oscillating. P2a and P2b remain in sync throughout the interval.",OK
N4_single_004,4,N4_single,P1,0,,maintained,maintained,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly around the midpoint and do not fully recover.,OK
N4_single_004,4,N4_single,P2,1,C1,broken,broken,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly around the midpoint and do not fully recover.,OK
N4_single_005,4,N4_single,P1,0,,maintained,maintained,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly between time steps 100 and 200 and do not fully recover.,OK
N4_single_005,4,N4_single,P2,1,C3,broken,broken,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly between time steps 100 and 200 and do not fully recover.,OK
N4_single_006,4,N4_single,P1,0,C1,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain closely synchronized throughout the entire interval.",OK
N4_single_006,4,N4_single,P2,1,,maintained,maintained,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain closely synchronized throughout the entire interval.",OK
N4_single_007,4,N4_single,P1,0,C3,broken,broken,True,0.95,P1a and P1b diverge significantly around the middle of the interval and do not fully recover synchronization. P2a and P2b remain in sync throughout the entire interval.,OK
N4_single_007,4,N4_single,P2,1,,maintained,maintained,True,0.95,P1a and P1b diverge significantly around the middle of the interval and do not fully recover synchronization. P2a and P2b remain in sync throughout the entire interval.,OK
N4_single_008,4,N4_single,P1,0,,maintained,maintained,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly around the midpoint and do not fully recover.,OK
N4_single_008,4,N4_single,P2,1,C3,broken,broken,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly around the midpoint and do not fully recover.,OK
N4_single_009,4,N4_single,P1,0,,maintained,maintained,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b lose synchronization around the midpoint and do not fully recover.,OK
N4_single_009,4,N4_single,P2,1,C3,broken,broken,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b lose synchronization around the midpoint and do not fully recover.,OK
N4_single_010,4,N4_single,P1,0,C2,broken,broken,True,0.95,"P1a and P1b start in sync but P1b becomes constant around the midpoint, breaking the relationship. P2a and P2b remain in sync throughout the interval.",OK
N4_single_010,4,N4_single,P2,1,,maintained,maintained,True,0.95,"P1a and P1b start in sync but P1b becomes constant around the midpoint, breaking the relationship. P2a and P2b remain in sync throughout the interval.",OK
N4_single_011,4,N4_single,P1,0,,maintained,broken,False,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, while P2a and P2b remain in sync throughout the interval.",OK
N4_single_011,4,N4_single,P2,1,C2,broken,maintained,False,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, while P2a and P2b remain in sync throughout the interval.",OK
N4_single_012,4,N4_single,P1,0,C3,broken,broken,True,0.95,P1a and P1b diverge significantly around the midpoint and do not fully recover synchronization. P2a and P2b remain closely synchronized throughout the interval.,OK
N4_single_012,4,N4_single,P2,1,,maintained,maintained,True,0.95,P1a and P1b diverge significantly around the midpoint and do not fully recover synchronization. P2a and P2b remain closely synchronized throughout the interval.,OK
N4_single_013,4,N4_single,P1,0,,maintained,maintained,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly between time steps 100 and 200 and do not fully recover.,OK
N4_single_013,4,N4_single,P2,1,C1,broken,broken,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly between time steps 100 and 200 and do not fully recover.,OK
N4_single_014,4,N4_single,P1,0,,maintained,maintained,True,0.95,"P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly after the first cycle, with P2b becoming constant while P2a continues oscillating.",OK
N4_single_014,4,N4_single,P2,1,C2,broken,broken,True,0.95,"P1a and P1b remain in sync throughout the interval. P2a and P2b diverge significantly after the first cycle, with P2b becoming constant while P2a continues oscillating.",OK
N4_multi_000,4,N4_multi,P1,0,C3,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain in sync throughout the entire interval.",OK
N4_multi_000,4,N4_multi,P2,1,C1,broken,maintained,False,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain in sync throughout the entire interval.",OK
N4_multi_001,4,N4_multi,P1,0,C2,broken,broken,True,0.95,P1a and P1b diverge significantly around the midpoint and do not recover. P2a and P2b remain in sync throughout the interval.,OK
N4_multi_001,4,N4_multi,P2,1,C3,broken,maintained,False,0.95,P1a and P1b diverge significantly around the midpoint and do not recover. P2a and P2b remain in sync throughout the interval.,OK
N4_multi_002,4,N4_multi,P1,0,C1,broken,broken,True,0.95,"For P1, the relationship breaks down around the 150 time step and does not fully recover. For P2, the relationship also breaks down around the 150 time step and does not fully recover.",OK
N4_multi_002,4,N4_multi,P2,1,C1,broken,broken,True,0.95,"For P1, the relationship breaks down around the 150 time step and does not fully recover. For P2, the relationship also breaks down around the 150 time step and does not fully recover.",OK
N4_multi_003,4,N4_multi,P1,0,C1,broken,broken,True,0.95,P1a and P1b diverge significantly around the peak near time step 100 and do not fully recover. P2a and P2b remain closely synchronized throughout the interval.,OK
N4_multi_003,4,N4_multi,P2,1,C1,broken,maintained,False,0.95,P1a and P1b diverge significantly around the peak near time step 100 and do not fully recover. P2a and P2b remain closely synchronized throughout the interval.,OK
N4_multi_004,4,N4_multi,P1,0,C2,broken,broken,True,0.95,P1a and P1b diverge significantly after the midpoint and do not recover. P2a and P2b remain in sync throughout the interval.,OK
N4_multi_004,4,N4_multi,P2,1,C3,broken,maintained,False,0.95,P1a and P1b diverge significantly after the midpoint and do not recover. P2a and P2b remain in sync throughout the interval.,OK
N4_multi_005,4,N4_multi,P1,0,C3,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain in sync throughout the entire interval.",OK
N4_multi_005,4,N4_multi,P2,1,C1,broken,maintained,False,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain in sync throughout the entire interval.",OK
N4_multi_006,4,N4_multi,P1,0,C2,broken,broken,True,0.95,"For P1, P1a and P1b diverge significantly after time step 100 and do not recover. For P2, P2a and P2b diverge significantly after time step 100 and do not recover.",OK
N4_multi_006,4,N4_multi,P2,1,C1,broken,broken,True,0.95,"For P1, P1a and P1b diverge significantly after time step 100 and do not recover. For P2, P2a and P2b diverge significantly after time step 100 and do not recover.",OK
N4_multi_007,4,N4_multi,P1,0,C3,broken,maintained,False,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_multi_007,4,N4_multi,P2,1,C3,broken,maintained,False,0.95,"Both pairs P1 (P1a & P1b) and P2 (P2a & P2b) maintain their synchronized relationship throughout the entire interval, as their movements remain closely aligned.",OK
N4_multi_008,4,N4_multi,P1,0,C2,broken,broken,True,0.95,P1a and P1b diverge significantly after the first cycle and do not recover synchronization. P2a and P2b remain in sync throughout the entire interval.,OK
N4_multi_008,4,N4_multi,P2,1,C3,broken,maintained,False,0.95,P1a and P1b diverge significantly after the first cycle and do not recover synchronization. P2a and P2b remain in sync throughout the entire interval.,OK
N4_multi_009,4,N4_multi,P1,0,C2,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, breaking their relationship. P2a and P2b remain synchronized throughout the entire interval.",OK
N4_multi_009,4,N4_multi,P2,1,C2,broken,maintained,False,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, breaking their relationship. P2a and P2b remain synchronized throughout the entire interval.",OK
N4_multi_010,4,N4_multi,P1,0,C2,broken,maintained,False,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b lose synchronization after the first cycle and do not recover.,OK
N4_multi_010,4,N4_multi,P2,1,C2,broken,broken,True,0.95,P1a and P1b remain in sync throughout the interval. P2a and P2b lose synchronization after the first cycle and do not recover.,OK
N4_multi_011,4,N4_multi,P1,0,C3,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain in sync throughout the entire interval.",OK
N4_multi_011,4,N4_multi,P2,1,C1,broken,maintained,False,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown in their relationship. P2a and P2b remain in sync throughout the entire interval.",OK
N4_multi_012,4,N4_multi,P1,0,C1,broken,broken,True,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown. P2a and P2b remain closely synchronized throughout the interval.",OK
N4_multi_012,4,N4_multi,P2,1,C2,broken,maintained,False,0.95,"P1a and P1b diverge significantly between time steps 100 and 200, indicating a breakdown. P2a and P2b remain closely synchronized throughout the interval.",OK
N4_multi_013,4,N4_multi,P1,0,C2,broken,broken,True,0.95,"P1a and P1b diverge significantly after the initial period, with P1b flattening while P1a continues to oscillate. P2a and P2b maintain a consistent relationship throughout the interval.",OK
N4_multi_013,4,N4_multi,P2,1,C1,broken,maintained,False,0.95,"P1a and P1b diverge significantly after the initial period, with P1b flattening while P1a continues to oscillate. P2a and P2b maintain a consistent relationship throughout the interval.",OK
N4_multi_014,4,N4_multi,P1,0,C1,broken,broken,True,0.95,"For P1, the relationship breaks down around time step 150 and does not fully recover. For P2, the relationship also breaks down around the same time and does not fully recover.",OK
N4_multi_014,4,N4_multi,P2,1,C1,broken,broken,True,0.95,"For P1, the relationship breaks down around time step 150 and does not fully recover. For P2, the relationship also breaks down around the same time and does not fully recover.",OK
N8_none_000,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_000,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_000,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_000,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_001,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_001,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_001,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_001,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
