pass,entity,start,end,length,csc,pct,prior,is_short,verdict,conf,keep,is_tp,flag,norm_s,anom_s,reason
1,machine-1-1,168,335,168,0.1900018007339289,82.77227722772277,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at 1.159x baseline with visual evidence of level shifts in multiple channels, supporting a strong "
1,machine-1-1,3808,3975,168,0.1872698599472642,80.19801980198021,LOW,False,NORMAL,2,False,False,FP,moderate,moderate,"Despite elevated scores, visual evidence shows changes could be within natural variation, leading to a normal verdict wi"
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,False,NORMAL,1,False,False,FP,moderate,moderate,"The score is modestly elevated but within natural variation, and visual evidence does not clearly favor anomaly."
1,machine-1-1,12208,12655,448,0.1968320919550024,87.92079207920793,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,Score is elevated with clear visual evidence of level shifts in multiple channels absent in baselines.
1,machine-1-1,13608,14055,448,0.20750298612983897,95.44554455445544,HIGH,False,ANOMALY,3,True,False,FP,weak,strong,High prior score and clear visual evidence of level shifts in multiple channels support anomaly.
1,machine-1-1,15008,15511,504,0.1987810129713681,89.3069306930693,MOD,False,ANOMALY,3,True,False,FP,weak,strong,"The candidate shows a significant level shift in Ch0 not present in normal baselines, supporting the anomaly hypothesis."
1,machine-1-1,16072,16519,448,0.20702707773307338,95.24752475247524,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of amplitude spikes in multiple channels indicate anomaly.
1,machine-1-1,16912,16967,56,0.18927669199183583,81.98019801980197,LOW,True,NORMAL,2,False,True,TP,moderate,moderate,"Despite Ch0's level shift, the modest score increase and short window suggest natural variance."
1,machine-1-1,17192,17695,504,0.22385433435233104,99.00990099009901,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of level shifts and divergence in multiple channels support anomaly.
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,False,ANOMALY,3,True,True,TP,moderate,strong,"Despite a modestly elevated score, the clear level shift in Ch0 provides strong visual evidence for an anomaly."
1,machine-1-1,18256,18647,392,0.21223680369023765,96.83168316831683,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of level shift in Ch0 support anomaly hypothesis.
1,machine-1-1,19656,20271,616,0.20247541478073056,92.67326732673268,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviation in Ch0 support a strong anomaly hypothesis.
1,machine-1-1,20944,21391,448,0.19882525503635406,89.3069306930693,MOD,False,ANOMALY,3,True,True,TP,moderate,strong,"The score is elevated at 1.15x baseline with a clear level shift in Ch0, supporting the anomaly hypothesis."
1,machine-1-1,22120,22511,392,0.19810168777725526,88.51485148514851,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,The candidate's elevated score and distinct channel shifts indicate a strong anomaly despite moderate normal consistency
1,machine-1-1,23632,24079,448,0.20100796251790598,91.68316831683168,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at the 92nd percentile, and visual evidence shows clear amplitude spikes in multiple channels not "
1,machine-1-1,24976,25311,336,0.19904464211625358,89.3069306930693,MOD,False,ANOMALY,3,True,False,FP,weak,strong,"The score is elevated at the 89th percentile with a clear level shift in Ch0, supporting the anomaly hypothesis."
1,machine-1-1,26488,26823,336,0.19060888793319464,82.97029702970296,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,Score is elevated at 83rd percentile with a clear level shift in Ch0 not seen in baselines.
1,machine-1-2,4536,4759,224,0.17483112745685503,98.09523809523809,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviation in Ch0 and Ch5 from baselines indicate strong anomaly.
1,machine-1-2,5432,5599,168,0.1658699334754298,79.52380952380952,LOW,False,NORMAL,2,False,True,TP,moderate,moderate,"The score is modestly elevated, but visual evidence shows variations consistent with natural fluctuations, making the no"
1,machine-1-2,5712,6103,392,0.17202706814610533,92.61904761904762,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviation in multiple channels indicate strong anomaly.
1,machine-1-2,6160,6943,784,0.17148417374119163,90.95238095238095,MOD,False,ANOMALY,3,True,False,FP,weak,strong,Score is elevated at 91st percentile with clear visual evidence of channel shifts absent in baselines.
1,machine-1-2,7280,7503,224,0.16616800712654367,80.95238095238095,LOW,False,NORMAL,2,False,False,FP,moderate,moderate,The score is modestly elevated but within natural variation; visual evidence does not clearly favor anomaly.
1,machine-1-2,7784,8007,224,0.16686960333026946,83.0952380952381,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated and Ch0 exhibits a significant level shift not present in baselines, indicating a strong anomaly."
1,machine-1-2,8288,8511,224,0.16660270473221317,82.38095238095238,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at the 82nd percentile, and Ch0 shows a significant level shift not present in baselines."
1,machine-1-2,11144,11423,280,0.16731184511445463,84.04761904761905,MOD,False,ANOMALY,3,True,False,FP,weak,strong,Score is elevated and visual evidence shows clear channel shifts and pattern changes not present in baselines.
1,machine-1-2,12432,13047,616,0.17101809913715857,90.0,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated and Ch0 shows a distinct level shift not present in baselines, indicating a strong anomaly."
1,machine-1-2,13384,13495,112,0.1665913627715785,82.14285714285714,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,"The anomaly hypothesis is clearly stronger due to a significant level shift in Ch1, supported by elevated scores."
1,machine-1-2,14616,14727,112,0.16549175354884937,77.85714285714286,LOW,False,NORMAL,2,False,False,FP,moderate,moderate,"The score is modestly elevated but within natural variation, and visual evidence does not clearly favor anomaly."
1,machine-1-2,15456,15679,224,0.16820922965416685,87.38095238095238,MOD,False,ANOMALY,3,True,True,TP,moderate,strong,"The score is elevated and Ch0 shows a significant level shift not present in baselines, indicating a strong anomaly."
1,machine-1-2,15792,16071,280,0.17475550479721277,97.61904761904762,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of channel shifts support the anomaly hypothesis strongly.
1,machine-1-2,16912,17079,168,0.1689682232293611,88.09523809523809,MOD,False,ANOMALY,3,True,False,FP,moderate,strong,Score is elevated at 88th percentile with a clear level shift in Ch0 not seen in baselines.
1,machine-1-2,18480,19039,560,0.16923364220419898,88.33333333333333,MOD,False,ANOMALY,3,True,True,TP,moderate,strong,"The score is elevated at 88th percentile with a clear level shift in Ch0, supporting the anomaly hypothesis strongly."
1,machine-1-2,19208,19431,224,0.1659341043094189,80.0,LOW,False,NORMAL,2,False,False,FP,moderate,moderate,The score is modestly elevated but within natural variation; visual evidence does not clearly favor anomaly.
1,machine-1-2,20048,20439,392,0.1703887386496977,89.52380952380953,MOD,False,ANOMALY,3,True,True,TP,moderate,strong,"The anomaly hypothesis is clearly stronger due to a significant level shift in Ch0 not present in baselines, despite mod"
1,machine-1-2,20608,20887,280,0.16757898810785363,84.76190476190476,MOD,False,ANOMALY,2,True,False,FP,moderate,moderate,"The score is slightly elevated, but Ch0 shows a distinct level shift not present in baselines, suggesting an anomaly."
1,machine-1-2,21784,22399,616,0.17483399862169594,98.09523809523809,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of level shift and amplitude spike in Ch0 support anomaly.
1,machine-1-2,22680,22959,280,0.16705605705734355,83.57142857142857,MOD,False,NORMAL,2,False,False,FP,moderate,moderate,"The score is elevated but not extreme, and visual evidence shows only moderate deviations consistent with natural variat"
1,machine-1-5,10416,10807,392,0.17936553633106606,92.85714285714286,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and visual evidence of significant channel changes support anomaly detection.
1,machine-1-5,11704,11927,224,0.17520335788140073,91.19047619047619,MOD,False,NORMAL,2,False,True,TP,moderate,moderate,Score is elevated but visual evidence shows changes are within natural variation.
1,machine-1-5,12600,12991,392,0.1986848475145442,98.09523809523809,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviations in multiple channels indicate a strong anomaly.
1,machine-1-5,13608,13663,56,0.17035484686493874,83.80952380952381,MOD,True,NORMAL,2,False,False,FP,moderate,weak,Score is slightly elevated but within natural variation; visual evidence does not clearly support anomaly.
1,machine-1-5,13888,14279,392,0.1809547714157296,93.80952380952381,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviations in multiple channels support anomaly hypothesis strongly.
1,machine-1-5,14336,14951,616,0.18990587180649693,97.14285714285714,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviation in multiple channels indicate strong anomaly.
1,machine-1-5,15344,15791,448,0.17239923815941438,88.09523809523809,MOD,False,NORMAL,2,False,False,FP,moderate,moderate,Score is slightly elevated but visual evidence shows changes consistent with natural variation.
1,machine-1-5,16352,16519,168,0.17202440005106232,87.14285714285714,MOD,False,ANOMALY,3,True,False,FP,weak,strong,Score is elevated and visual evidence shows clear channel shifts and spikes absent in baselines.
1,machine-1-5,19376,19431,56,0.17089309450238943,85.0,MOD,True,NORMAL,2,False,False,FP,moderate,weak,"The score is slightly elevated but within natural variation; visual evidence does not show clear, unambiguous anomaly."
1,machine-1-5,19488,19599,112,0.16962528484873474,82.85714285714286,MOD,False,ANOMALY,2,True,False,FP,moderate,moderate,"The candidate score is elevated at the 83rd percentile with visual evidence of amplitude spikes in multiple channels, su"
1,machine-1-5,20608,21559,952,0.17908218686523683,92.61904761904762,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of channel shifts and spikes support the anomaly hypothesis.
1,machine-1-5,21952,22231,280,0.18003786052577198,93.0952380952381,HIGH,False,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear amplitude spikes in multiple channels indicate strong anomaly evidence.
